派系名稱,成員總數,核心領袖,所有成員
A,6,蔡哥,千千進食中 | Ian&Eric | 阿翰po影片 | PEETA葛格 | 蔡哥 | 我是阿樂-林妤臻
B,5,一隻阿圓,一隻阿圓 | 那個女生-Kiki | 這群人-尼克 | Sandy-&-Mandy | 飽妮
C,5,Onion-man-洋蔥先生與阿文,Onion-man-洋蔥先生與阿文 | 大蛇丸 | 木曜4超玩 | J-Bao賤葆 | 廚佛瑞德Fred
D,5,黃氏兄弟,黃氏兄弟 | 彼得爸與蘇珊媽 | 有璟妍精요찡옌찡 | Bobo-TV | 三個麻瓜
E,4,Joeman,Joeman | 3cTim哥生活的日常 | 小尾巴 | 元-元
F,4,滴妹,阿滴英文 | 貓貓蟲-咖波 | 志祺七七 | 滴妹
G,4,魚乾,魚乾 | GINA-HELLO! | 胡子Huz | 安啾咪
H,4,這群人-董仔,這群人TGOP | 這群人-董仔 | 囂搞-Shaogao | 蕭志瑋
I,3,蔡阿嘎,蔡阿嘎 | 蔡桃貴 | 嘎嫂二伯
J,3,How-Fun-如何爽,How-Fun-如何爽 | 廉傑克曼 | 尤汐伯夷
K,3,羚小鹿,琳妲-林羿禎 | 羚小鹿 | Sunnie-陸筱晴
L,3,見習網美小吳,見習網美小吳 | 魔術Channel---Davio | 紀卜心-Kimi
M (其他小群),40,上發條俱樂部,關韶文 | Candy-孟潔 | 那那大師 | 咪妃Julia | 喪屍老爸 | 鵝鵝就是鵝鵝 | 77老大 | 黃小米-Mii | 江老師 | 卡特-Kart | 人類超有病-Baxuan | 健人蓋伊 | 我得了一種吃菜就會死的病-微疼 | 鐵牛-Ironbull | 白癡公主 | Evelyn-Chen-理科太太 | 陳彥婷 | Yun-Chou | HOOK | 黃大謙 | HahaTai-哈哈台 | 崔&雪莉&Jon | 阿啾繪圖同萌 | 啾啾妹-by-LIIN | 連環泡有芒果 | 上發條俱樂部 | 我是老爸-我不要當爸! | Men's-Game-玩物誌 | 現在宅知道 | Six-Wang | 閃電狼Flash-Wolves | 小葵-XiaoKui | 小A辣 | 林進-飛醺卑鄙-fashion-baby | 台灣吧 | Mom-&-Dad | Aries艾瑞絲 | 瑀熙-Yuci | 鹿人 | 恩熙俊-aka-MC-Jeng
0-Degree (孤島),111,N/A,黃阿瑪的後宮生活 | 小象愛出門 | 那對夫妻 | PanSci-泛科學 | 欸你這週要幹嘛 | 好味小姐 | 那些電影教我的事 | 豆漿--Soybean-Milk | Andy老師 | 超認真少年-I'm-Serious | 三原慧悟-Sanyuan_JAPAN | KEOKI-BLACK布萊克薛薛 | 厭世甜點店 | 丹妮婊姐 | 泱泱LYNN | 丁特-Dinter | 愛里 | Ru's-Piano-Ru味春捲 | 愛莉莎莎-Alisasa | Charlene-Liu-查理 | 波蘭女孩x台灣男孩-在家環遊世界 | Emma艾瑪 | 蘿潔塔的廚房 | 百變沛莉-Peri | 蛋事超有事EggThings | 雨揚樂活家族 | 肉比頭Zoebitalk | 人生肥宅x尊 | 融融歷險記-Ben’s-Adventure | 星期天 | MaoMaoTV | 兔女狼 | 莫彩曦Hailey | 星光奈奈 | Gary蓋瑞 | Jason-Chen-陳以桐 | 台灣妞韓國媳 | cheap-鄭才暐 | 王宏哲教養、育兒寶典 | High咖-邱志恒 | Lobo-蘿蔔 | 鼻妹的廢話亂畫 | Sandy-珊迪 | 可可酒精 | 吃貨豪豪 | 電瀨少女-女孩的科技日常 | Ciao!-Kitchen | 超粒方 | 麻糬爸 | Lilyflute長笛姐姐 | Wecook123-料理123 | 泥泥汝niniru | 艾爾文 | DE-JuN | 小熊-Yuniko | IFBB-Pro-Lin-Ching-Chieh-林敬傑 | 找蔬食-Traveggo | Patti-Huang | 強運少女日本日記RU-in-Japan/ | 邱沁宜 | 阿淇博士-Dr.Achi | Ines-Wang | 史丹利視角的體育世界 | 豹子腿方昶詠 | 羅小白 | 阿慈車庫-Dream-garage | 痘疤醫生---莊盈彥醫師 | 英雄日常Heroisme | 籃靖玟 | Peter-Su | SMG-Sirenia海牛 | Coffee-Time | 魯蛋的頻道 | 含羞草日記 | 辣媽Shania | 傲嬌爸的養貓日常 | 胡采蘋-Emmy-Hu | LoganDBeck-小貝 | 林萱-Shiuan | 日本藥妝失心瘋 | Campfire營火部落 | BlaireChen-左撇子 | 莊政威-Cliff-Chuang | 貝莉莓 | 周小葳 | 柴犬Nana和阿楞的一天 | 維思維 | 肉肉Neneko | 牛排 | 希露弟弟啃雞腿 | 黃山料 | Natalie吳斐莉 | 黃帝筱清Virus | 村子裡的凱莉哥 | 老王-oldwang | 處女座媽媽的瑣碎日常 | 虎麗笑嗨嗨 | 老王愛說笑 | 崔咪Tramy | Cindy-H | MR.JOE-HOBBY.tv | Goris-Sky | 依梨 | 許允樂的老兵魂 | 鬧著玩娛樂 | 林淑芬2.0 | Meg-今天穿什麼 | 小凱老師 | 紫玥桃 | Linzin-阿哲 | 大H-陳建昕
